org_name.nih,org_city.nih,org_state.nih,lat.nih,lon.nih,org_name.nsf,org_city.nsf,org_state.nsf,lat.nsf,lon.nsf,org_name,org_city,org_state,lat,lon
NA,NA,NA,NA,NA,Nevada State University,Henderson,NV,35.983,-114.93871,Nevada State University,Henderson,NV,35.983,-114.93871
New Jersey Institute of Technology,Newark,NJ,40.74292,-74.17624,New Jersey Institute of Technology,Newark,NJ,40.74292,-74.17624,New Jersey Institute of Technology,Newark,NJ,40.74292,-74.17624
New Mexico State University Las Cruces,Las Cruces,NM,32.27904,-106.7557,New Mexico State University Las Cruces,Las Cruces,NM,32.27904,-106.7557,New Mexico State University Las Cruces,Las Cruces,NM,32.27904,-106.7557
New Mexico State University Las Cruces,Las Cruces,NM,32.27904,-106.7557,New Mexico State University,Las Cruces,NM,32.27885,-106.75395,New Mexico State University Las Cruces,Las Cruces,NM,32.27904,-106.7557
New York Hall of Science,Corona,NY,40.75257,-73.85476,New York Hall of Science,Corona,NY,40.75257,-73.85476,New York Hall of Science,Corona,NY,40.75257,-73.85476
New York Medical College,Valhalla,NY,41.08553,-73.81025,NA,NA,NA,NA,NA,New York Medical College,Valhalla,NY,41.08553,-73.81025
New York University,New York,NY,40.66989,-73.97435,New York University,New York,NY,40.72966,-73.99702,New York University,New York,NY,40.72966,-73.99702
New York University,New York,NY,40.72966,-73.99702,New York University,New York,NY,40.72966,-73.99702,New York University,New York,NY,40.72966,-73.99702
New York University,Mineola,NY,40.7415,-73.64036,NA,NA,NA,NA,NA,New York University,New York,NY,40.72966,-73.99702
North Carolina A&T State University,Greensboro,NC,36.07418,-79.77596,North Carolina A&T State University,Greensboro,NC,36.07418,-79.77596,North Carolina A&T State University,Greensboro,NC,36.07418,-79.77596
North Carolina A&T State University,Greensboro,NC,36.07418,-79.77596,North Carolina Agricultural & Technical State University,Greensboro,NC,36.07196,-79.77592,North Carolina A&T State University,Greensboro,NC,36.07418,-79.77596
North Carolina State University Raleigh,Raleigh,NC,35.78468,-78.67723,North Carolina State University Raleigh,Raleigh,NC,35.78468,-78.67723,North Carolina State University Raleigh,Raleigh,NC,35.78468,-78.67723
North Carolina State University Raleigh,Raleigh,NC,35.78468,-78.67723,North Carolina State University,Raleigh,NC,35.78653,-78.68159,North Carolina State University Raleigh,Raleigh,NC,35.78468,-78.67723
NA,NA,NA,NA,NA,North Dakota State University Fargo,Fargo,ND,46.89295,-96.80103,North Dakota State University Fargo,Fargo,ND,46.89295,-96.80103
Northeastern University,Boston,MA,42.34005,-71.08889,Northeastern University,Boston,MA,42.34005,-71.08889,Northeastern University,Boston,MA,42.34005,-71.08889
NA,NA,NA,NA,NA,Northern Arizona University,Flagstaff,AZ,35.19311,-111.65634,Northern Arizona University,Flagstaff,AZ,35.19311,-111.65634
NA,NA,NA,NA,NA,Northern Illinois University,Dekalb,IL,41.93398,-88.77985,Northern Illinois University,Dekalb,IL,41.93398,-88.77985
NA,NA,NA,NA,NA,Northern Kentucky University,Newport,KY,39.03351,-84.45905,Northern Kentucky University,Newport,KY,39.03351,-84.45905
NA,NA,NA,NA,NA,Northern Virginia Community College,Annandale,VA,38.83321,-77.23655,Northern Virginia Community College,Annandale,VA,38.83321,-77.23655
NA,NA,NA,NA,NA,Northwest Indian College,Bellingham,WA,48.79258,-122.61576,Northwest Indian College,Bellingham,WA,48.79258,-122.61576
Northwestern University,Chicago,IL,42.05048,-87.68005,NA,NA,NA,NA,NA,Northwestern University,Evanston,IL,42.05048,-87.68005
NA,NA,NA,NA,NA,Northwestern University,Evanston,IL,42.05063,-87.67973,Northwestern University,Evanston,IL,42.05048,-87.68005
NA,NA,NA,NA,NA,Oakland University,Rochester,MI,42.67251,-83.21576,Oakland University,Rochester,MI,42.67251,-83.21576
NA,NA,NA,NA,NA,Oberlin College,Oberlin,OH,41.29359,-82.22363,Oberlin College,Oberlin,OH,41.29359,-82.22363
NA,NA,NA,NA,NA,Occidental College,Los Angeles,CA,34.12736,-118.21048,Occidental College,Los Angeles,CA,34.12736,-118.21048
"Ochin, Inc.",Portland,OR,45.50926,-122.67766,NA,NA,NA,NA,NA,"Ochin, Inc.",Portland,OR,45.50926,-122.67766
Ohio State University,Columbus,OH,39.9996,-83.03313,Ohio State University,Columbus,OH,39.9996,-83.03313,Ohio State University,Columbus,OH,39.9996,-83.03313
Oklahoma Medical Research Foundation,Oklahoma City,OK,35.48299,-97.49781,NA,NA,NA,NA,NA,Oklahoma Medical Research Foundation,Oklahoma City,OK,35.48299,-97.49781
Oklahoma State University Stillwater,Stillwater,OK,36.11563,-97.05804,Oklahoma State University,Stillwater,OK,36.12196,-97.07068,Oklahoma State University Stillwater,Stillwater,OK,36.11563,-97.05804
Old Dominion University,Norfolk,VA,36.88899,-76.30348,Old Dominion University Research Foundation,Norfolk,VA,36.88223,-76.30037,Old Dominion University,Norfolk,VA,36.88899,-76.30348
Olipha Inc,Wilmington,DE,39.74854,-75.54767,NA,NA,NA,NA,NA,Olipha Inc,Wilmington,DE,39.74854,-75.54767
Oregon Health & Science University,Portland,OR,45.49882,-122.68565,NA,NA,NA,NA,NA,Oregon Health & Science University,Portland,OR,45.49882,-122.68565
NA,NA,NA,NA,NA,Oregon Museum of Science and Industry,Portland,OR,45.5104,-122.66717,Oregon Museum of Science and Industry,Portland,OR,45.5104,-122.66717
NA,NA,NA,NA,NA,Oregon State University,Corvallis,OR,44.56392,-123.27464,Oregon State University,Corvallis,OR,44.56392,-123.27464
NA,NA,NA,NA,NA,PBS Foundation,Arlington,VA,38.86208,-77.05098,PBS Foundation,Arlington,VA,38.86208,-77.05098
Pacific Institute for Research and Evaluation,Beltsville,MD,39.05068,-76.93727,NA,NA,NA,NA,NA,Pacific Institute for Research and Evaluation,Beltsville,MD,39.05068,-76.93727
NA,NA,NA,NA,NA,Pacific Resources for Education and Learning,Honolulu,HI,21.3084,-157.86278,Pacific Resources for Education and Learning,Honolulu,HI,21.3084,-157.86278
Pennsylvania State University,University Park,PA,40.87072,-77.83415,"Pennsylvania State University, University Park",University Park,PA,40.79647,-77.86283,Pennsylvania State University - University Park,University Park,PA,40.87072,-77.83415
Pennsylvania State University Hershey Medical Center,Hershey,PA,40.26441,-76.67401,NA,NA,NA,NA,NA,Pennsylvania State University Hershey Medical Center,Hershey,PA,40.26441,-76.67401
NA,NA,NA,NA,NA,Pepperdine University,Malibu,CA,34.03912,-118.70565,Pepperdine University,Malibu,CA,34.03912,-118.70565
NA,NA,NA,NA,NA,Pharmacoustics Technologies LLC,Potsdam,NY,44.68423,-74.97973,Pharmacoustics Technologies LLC,Potsdam,NY,44.68423,-74.97973
Portland State University,Portland,OR,45.51201,-122.67948,Portland State University,Portland,OR,45.51201,-122.67948,Portland State University,Portland,OR,45.51201,-122.67948
"Powertech Water, Inc.",Lexington,KY,38.03558,-84.50572,NA,NA,NA,NA,NA,"Powertech Water, Inc.",Lexington,KY,38.03558,-84.50572
Prairie View A&M University,Prairie View,TX,30.08133,-95.99286,Prairie View A&M University,Prairie View,TX,30.08133,-95.99286,Prairie View A&M University,Prairie View,TX,30.08133,-95.99286
NA,NA,NA,NA,NA,Pratt Institute,Brooklyn,NY,40.69158,-73.96391,Pratt Institute,Brooklyn,NY,40.69158,-73.96391
Princeton University,Princeton,NJ,40.34544,-74.65587,Princeton University,Princeton,NJ,40.34544,-74.65587,Princeton University,Princeton,NJ,40.34544,-74.65587
Priogen Corp,Saint Paul,MN,44.97119,-93.2042,NA,NA,NA,NA,NA,Priogen Corp,Saint Paul,MN,44.97119,-93.2042
"Pro-Change Behavior Systems, Inc.",Narragansett,RI,41.45103,-71.49752,NA,NA,NA,NA,NA,"Pro-Change Behavior Systems, Inc.",Narragansett,RI,41.45103,-71.49752
Public Health Foundation Enterprises,City Of Industry,CA,34.02948,-118.02327,NA,NA,NA,NA,NA,Public Health Foundation Enterprises,City Of Industry,CA,34.02948,-118.02327
NA,NA,NA,NA,NA,Public Policy Lab,Brooklyn,NY,40.70408,-73.98703,Public Policy Lab,Brooklyn,NY,40.70408,-73.98703
Purdue University,West Lafayette,IN,40.41872,-86.91036,Purdue University,West Lafayette,IN,40.41872,-86.91036,Purdue University,West Lafayette,IN,40.41872,-86.91036
Queen's Medical Center,Honolulu,HI,21.3078,-157.85395,NA,NA,NA,NA,NA,Queen's Medical Center,Honolulu,HI,21.3078,-157.85395
Rand Corporation,Santa Monica,CA,34.00966,-118.49094,Rand Corporation,Santa Monica,CA,34.00966,-118.49094,Rand Corporation,Santa Monica,CA,34.00966,-118.49094
NA,NA,NA,NA,NA,Regents of the University of Idaho,Moscow,ID,46.72738,-117.02348,Regents of the University of Idaho,Moscow,ID,46.72738,-117.02348
NA,NA,NA,NA,NA,Regis College,Weston,MA,42.35029,-71.30895,Regis College,Weston,MA,42.35029,-71.30895
Rensselaer Polytechnic Institute,Troy,NY,42.73286,-73.68349,Rensselaer Polytechnic Institute,Troy,NY,42.73286,-73.68349,Rensselaer Polytechnic Institute,Troy,NY,42.73286,-73.68349
NA,NA,NA,NA,NA,Research Foundation of the City University of New York,New York,NY,40.75572,-73.98886,Research Foundation of the City University of New York,New York,NY,40.75572,-73.98886
Research Institute Nationwide Children's Hosp,Columbus,OH,39.95251,-82.9793,NA,NA,NA,NA,NA,Research Institute Nationwide Children's Hosp,Columbus,OH,39.95251,-82.9793
Research Triangle Institute,Research Triangle Park,NC,35.9138,-78.84891,NA,NA,NA,NA,NA,Research Triangle Institute,Research Triangle Park,NC,35.9138,-78.84891
"Resilient Games Studio, LLC",Chicago,IL,41.79896,-87.59808,NA,NA,NA,NA,NA,"Resilient Games Studio, LLC",Chicago,IL,41.79896,-87.59808
NA,NA,NA,NA,NA,Reuben H. Fleet Science Center,San Diego,CA,32.73086,-117.14697,Reuben H. Fleet Science Center,San Diego,CA,32.73086,-117.14697
Rhode Island Hospital,Providence,RI,41.81168,-71.40937,NA,NA,NA,NA,NA,Rhode Island Hospital,Providence,RI,41.81168,-71.40937
Rice University,Houston,TX,29.71724,-95.40276,NA,NA,NA,NA,NA,Rice University,Houston,TX,29.71724,-95.40276
NA,NA,NA,NA,NA,Rio Hondo College,City Of Industry,CA,34.01947,-118.0338,Rio Hondo College,City Of Industry,CA,34.01947,-118.0338
NA,NA,NA,NA,NA,Ripple Effect Water Literacy Project,New Orleans,LA,29.91975,-90.08364,Ripple Effect Water Literacy Project,New Orleans,LA,29.91975,-90.08364
NA,NA,NA,NA,NA,Riverside Community College District/Riverside City College,Riverside,CA,33.97119,-117.3811,Riverside Community College District/Riverside City College,Riverside,CA,33.97119,-117.3811
Rochester Institute of Technology,Rochester,NY,43.09217,-77.67477,Rochester Institute of Technology,Rochester,NY,43.09217,-77.67477,Rochester Institute of Technology,Rochester,NY,43.09217,-77.67477
Rochester Institute of Technology,Rochester,NY,43.09217,-77.67477,Rochester Institute of Tech,Rochester,NY,43.08601,-77.67454,Rochester Institute of Technology,Rochester,NY,43.09217,-77.67477
Rosalind Franklin University of Medicine & Science,North Chicago,IL,42.30229,-87.86138,NA,NA,NA,NA,NA,Rosalind Franklin University of Medicine & Science,North Chicago,IL,42.30229,-87.86138
Roswell Park Cancer Institute Corp,Buffalo,NY,42.87338,-78.86924,NA,NA,NA,NA,NA,Roswell Park Cancer Institute Corp.,Buffalo,NY,42.87338,-78.86924
Rowan University,Glassboro,NJ,39.70772,-75.1169,Rowan University,Glassboro,NJ,39.70772,-75.1169,Rowan University,Glassboro,NJ,39.70772,-75.1169
Rush University Medical Center,Chicago,IL,41.87506,-87.66833,NA,NA,NA,NA,NA,Rush University Medical Center,Chicago,IL,41.87506,-87.66833
Rutgers Biomedical and Health Sciences,Newark,NJ,40.52098,-74.47325,NA,NA,NA,NA,NA,Rutgers Biomedical and Health Sciences,Newark,NJ,40.52098,-74.47325
Rutgers University,Piscataway,NJ,40.48191,-74.45707,NA,NA,NA,NA,NA,Rutgers University,Piscataway,NJ,40.48191,-74.45707
"Rutgers, Camden",Camden,NJ,39.94748,-75.12305,NA,NA,NA,NA,NA,Rutgers University Camden,Camden,NJ,39.94748,-75.12305
NA,NA,NA,NA,NA,Rutgers University New Brunswick,New Brunswick,NJ,40.4777,-74.4255,Rutgers University New Brunswick,New Brunswick,NJ,40.4777,-74.4255
"Rutgers, Newark",Newark,NJ,40.74054,-74.17268,Rutgers University Newark,Newark,NJ,40.74064,-74.17313,Rutgers University Newark,Newark,NJ,40.74054,-74.17268
"Rutgers, Newark",Newark,NJ,40.74054,-74.17268,Rutgers University Newark,Newark,NJ,40.7433,-74.19166,Rutgers University Newark,Newark,NJ,40.74054,-74.17268
NA,NA,NA,NA,NA,SRI International,Menlo Park,CA,37.45659,-122.17531,SRI International,Menlo Park,CA,37.45659,-122.17531
State University of New York at Albany,Albany,NY,42.69171,-73.82559,NA,NA,NA,NA,NA,SUNY Albany,Albany,NY,42.69171,-73.82559
NA,NA,NA,NA,NA,SUNY at Albany,Albany,NY,42.68942,-73.82348,SUNY Albany,Albany,NY,42.69171,-73.82559
"State University of New York, Binghamton",Binghamton,NY,42.09521,-75.96456,NA,NA,NA,NA,NA,SUNY Binghamton,Binghamton,NY,42.09521,-75.96456
State University of New York at Buffalo,Amherst,NY,43.00307,-78.78592,NA,NA,NA,NA,NA,SUNY Buffalo,Amherst,NY,43.00307,-78.78592
NA,NA,NA,NA,NA,SUNY at Buffalo,Amherst,NY,43.00274,-78.7858,SUNY Buffalo,Amherst,NY,43.00307,-78.78592
NA,NA,NA,NA,NA,SUNY College at Geneseo,Geneseo,NY,42.79669,-77.82197,SUNY College Geneseo,Geneseo,NY,42.79669,-77.82197
NA,NA,NA,NA,NA,SUNY College at Oneonta,Oneonta,NY,42.46897,-75.06257,SUNY College Oneonta,Oneonta,NY,42.46897,-75.06257
NA,NA,NA,NA,NA,SUNY College of Environmental Science and Forestry,Syracuse,NY,43.03472,-76.13635,SUNY College of Environmental Science and Forestry,Syracuse,NY,43.03472,-76.13635
SUNY Downstate Medical Center,Brooklyn,NY,40.65537,-73.94508,NA,NA,NA,NA,NA,SUNY Downstate Medical Center,Brooklyn,NY,40.65537,-73.94508
NA,NA,NA,NA,NA,SUNY Empire State College,Saratoga Springs,NY,43.07732,-73.78246,SUNY Empire State College,Saratoga Springs,NY,43.07732,-73.78246
NA,NA,NA,NA,NA,SUNY Onondaga Community College,Syracuse,NY,43.00435,-76.19812,SUNY Onondaga Community College,Syracuse,NY,43.00435,-76.19812
State University New York Stony Brook,Stony Brook,NY,40.91456,-73.12517,NA,NA,NA,NA,NA,SUNY Stony Brook,Stony Brook,NY,40.91456,-73.12517
NA,NA,NA,NA,NA,SUNY at Stony Brook,Stony Brook,NY,40.94526,-73.11627,SUNY Stony Brook,Stony Brook,NY,40.91456,-73.12517
SUNY Upstate Medical University,Syracuse,NY,43.0426,-76.14055,NA,NA,NA,NA,NA,SUNY Upstate Medical University,Syracuse,NY,43.0426,-76.14055
NA,NA,NA,NA,NA,"SageFox Consulting Group, LLC",Amherst,MA,42.37618,-72.51816,"SageFox Consulting Group, LLC",Amherst,MA,42.37618,-72.51816
NA,NA,NA,NA,NA,Salem State University,Salem,MA,42.5055,-70.8907,Salem State University,Salem,MA,42.5055,-70.8907
NA,NA,NA,NA,NA,Salisbury University,Salisbury,MD,38.34617,-75.60555,Salisbury University,Salisbury,MD,38.34617,-75.60555
NA,NA,NA,NA,NA,San Antonio College,San Antonio,TX,29.44491,-98.47412,San Antonio College,San Antonio,TX,29.44491,-98.47412
San Diego State University,San Diego,CA,32.76218,-117.06916,San Diego State University,San Diego,CA,32.76218,-117.06916,San Diego State University,San Diego,CA,32.76218,-117.06916
San Diego State University,San Diego,CA,32.76218,-117.06916,San Diego State University Foundation,San Diego,CA,32.77224,-117.07231,San Diego State University,San Diego,CA,32.76218,-117.06916
San Francisco State University,San Francisco,CA,37.72091,-122.47607000000001,San Francisco State University,San Francisco,CA,37.72091,-122.47607000000001,San Francisco State University,San Francisco,CA,37.72091,-122.47607000000001
NA,NA,NA,NA,NA,San Jacinto College District,Pasadena,TX,29.64839,-95.17216,San Jacinto College District,Pasadena,TX,29.64839,-95.17216
San Jose State University,San Jose,CA,37.34094,-121.88941,San Jose State University,San Jose,CA,37.34094,-121.88941,San Jose State University,San Jose,CA,37.34094,-121.88941
San Jose State University,San Jose,CA,37.34094,-121.88941,San Jose State University Foundation,San Jose,CA,37.33608,-121.88045,San Jose State University,San Jose,CA,37.34094,-121.88941
Sanford Burnham Prebys,La Jolla,CA,32.9036,-117.24298,NA,NA,NA,NA,NA,Sanford Burnham Prebys,La Jolla,CA,32.9036,-117.24298
NA,NA,NA,NA,NA,Santa Clara University,Santa Clara,CA,37.34893,-121.93678,Santa Clara University,Santa Clara,CA,37.34893,-121.93678
NA,NA,NA,NA,NA,Santa Fe Institute,Santa Fe,NM,35.70026,-105.90849,Santa Fe Institute,Santa Fe,NM,35.70026,-105.90849
NA,NA,NA,NA,NA,Santa Monica College,Santa Monica,CA,34.0151,-118.47206,Santa Monica College,Santa Monica,CA,34.0151,-118.47206
NA,NA,NA,NA,NA,Science Museum of Minnesota,Saint Paul,MN,44.94325,-93.0978,Science Museum of Minnesota,Saint Paul,MN,44.94325,-93.0978
Scripps Health,San Diego,CA,32.88774,-117.2238,NA,NA,NA,NA,NA,Scripps Health,San Diego,CA,32.88774,-117.2238
Scripps Research Institute,La Jolla,CA,32.90306,-117.24359,NA,NA,NA,NA,NA,Scripps Research Institute,La Jolla,CA,32.90306,-117.24359
NA,NA,NA,NA,NA,Seattle Community College District Office,Seattle,WA,47.61438,-122.3218,Seattle Community College District Office,Seattle,WA,47.61438,-122.3218
NA,NA,NA,NA,NA,Seattle Pacific University,Seattle,WA,47.65012,-122.36087,Seattle Pacific University,Seattle,WA,47.65012,-122.36087
NA,NA,NA,NA,NA,Shakopee Mdewakanton Sioux Community,Prior Lake,MN,44.73624,-93.47294,Shakopee Mdewakanton Sioux Community,Prior Lake,MN,44.73624,-93.47294
NA,NA,NA,NA,NA,Shaw University,Raleigh,NC,35.77033,-78.63775,Shaw University,Raleigh,NC,35.77033,-78.63775
NA,NA,NA,NA,NA,Sierra Streams Institute,Nevada City,CA,39.24855,-121.01673,Sierra Streams Institute,Nevada City,CA,39.24855,-121.01673
Silverbills Inc.,New Rochelle,NY,40.94685,-73.77205,NA,NA,NA,NA,NA,Silverbills Inc.,New Rochelle,NY,40.94685,-73.77205
Sloan-Kettering Institute Cancer Research,New York,NY,40.76405,-73.95602,NA,NA,NA,NA,NA,Sloan-Kettering Institute Cancer Research,New York,NY,40.76405,-73.95602
NA,NA,NA,NA,NA,Smart Girls HQ LLC,Charlotte,NC,35.22919,-80.83492,Smart Girls HQ LLC,Charlotte,NC,35.22919,-80.83492
Smith-Kettlewell Eye Research Institute,San Francisco,CA,37.79118,-122.43391,NA,NA,NA,NA,NA,Smith-Kettlewell Eye Research Institute,San Francisco,CA,37.79118,-122.43391
NA,NA,NA,NA,NA,Society for Personality and Social Psychology,Annandale,VA,38.84929,-77.19612,Society for Personality and Social Psychology,Annandale,VA,38.84929,-77.19612
Society of Behavioral Medicine,Milwaukee,WI,43.04122,-87.90483,NA,NA,NA,NA,NA,Society of Behavioral Medicine,Milwaukee,WI,43.04122,-87.90483
Society of Toxicology,Reston,VA,38.94847,-77.33236,NA,NA,NA,NA,NA,Society of Toxicology,Reston,VA,38.94847,-77.33236
NA,NA,NA,NA,NA,Society of Women Engineers,Chicago,IL,41.88492,-87.62312,Society of Women Engineers,Chicago,IL,41.88492,-87.62312
NA,NA,NA,NA,NA,South Dakota School of Mines and Technology,Rapid City,SD,44.07537,-103.20833,South Dakota School of Mines and Technology,Rapid City,SD,44.07537,-103.20833
Southcentral Foundation,Anchorage,AK,61.18215,-149.79596,NA,NA,NA,NA,NA,Southcentral Foundation,Anchorage,AK,61.18215,-149.79596
Southeast Arizona Area Health Education Center,Nogales,AZ,31.3407,-110.96079,NA,NA,NA,NA,NA,Southeast Arizona Area Health Education Center,Nogales,AZ,31.3407,-110.96079
NA,NA,NA,NA,NA,Southern California Tribal Chairmens Association,Pala,CA,33.36239,-117.09352,Southern California Tribal Chairmens Association,Pala,CA,33.36239,-117.09352
NA,NA,NA,NA,NA,Southern Connecticut State University,New Haven,CT,41.33229,-72.94458,Southern Connecticut State University,New Haven,CT,41.33229,-72.94458
NA,NA,NA,NA,NA,Southern Methodist University,Dallas,TX,32.84495,-96.78593,Southern Methodist University,Dallas,TX,32.84495,-96.78593
NA,NA,NA,NA,NA,Southern Utah University,Cedar City,UT,37.6744,-113.06873,Southern Utah University,Cedar City,UT,37.6744,-113.06873
NA,NA,NA,NA,NA,Southwestern College,Chula Vista,CA,32.64348,-116.99809,Southwestern College,Chula Vista,CA,32.64348,-116.99809
Spaulding Rehabilitation Hospital,Charlestown,MA,42.37856,-71.04922,NA,NA,NA,NA,NA,Spaulding Rehabilitation Hospital,Charlestown,MA,42.37856,-71.04922
Spelman College,Atlanta,GA,33.74525,-84.41146,Spelman College,Atlanta,GA,33.74525,-84.41146,Spelman College,Atlanta,GA,33.74525,-84.41146
St. Catherine University,St. Paul,MN,44.92488,-93.18313,St. Catherine University,St. Paul,MN,44.92488,-93.18313,St. Catherine University,St. Paul,MN,44.92488,-93.18313
St. Jude Children's Research Hospital,Memphis,TN,35.15435,-90.04362,St. Jude Children's Research Hospital,Memphis,TN,35.15435,-90.04362,St. Jude Children's Research Hospital,Memphis,TN,35.15435,-90.04362
St. Jude Children's Research Hospital,Memphis,TN,35.15561,-90.04528,St. Jude Children's Research Hospital,Memphis,TN,35.15435,-90.04362,St. Jude Children's Research Hospital,Memphis,TN,35.15435,-90.04362
St. Jude Children's Research Hospital,Memphis,TN,35.15435,-90.04362,St Jude Children's Research Hospital,Memphis,TN,35.15455,-90.04288,St. Jude Children's Research Hospital,Memphis,TN,35.15435,-90.04362
St. Jude Children's Research Hospital,Memphis,TN,35.15561,-90.04528,St Jude Children's Research Hospital,Memphis,TN,35.15455,-90.04288,St. Jude Children's Research Hospital,Memphis,TN,35.15435,-90.04362
St. Mary's University,San Antonio,TX,29.45193,-98.5606,St Mary's University San Antonio,San Antonio,TX,29.45243,-98.56469,St. Mary's University San Antonio,San Antonio,TX,29.45193,-98.5606
NA,NA,NA,NA,NA,St. Petersburg College,Clearwater,FL,27.89942,-82.712,St. Petersburg College,Clearwater,FL,27.89942,-82.712
Stanford University,Stanford,CA,37.42685,-122.17047,Stanford University,Stanford,CA,37.42685,-122.17047,Stanford University,Stanford,CA,37.42685,-122.17047
NA,NA,NA,NA,NA,"Start International, Inc..",Fort Collins,CO,40.58109,-105.09416,"Start International, Inc.",Fort Collins,CO,40.58109,-105.09416
NA,NA,NA,NA,NA,Stevens Institute of Technology,Hoboken,NJ,40.73496,-74.02739,Stevens Institute of Technology,Hoboken,NJ,40.73496,-74.02739
"Subtle Medical, Inc.",Menlo Park,CA,37.450920000000004,-122.18522,NA,NA,NA,NA,NA,"Subtle Medical, Inc.",Menlo Park,CA,37.450920000000004,-122.18522
NA,NA,NA,NA,NA,TERC Inc.,Cambridge,MA,42.39162,-71.12299,TERC Inc.,Cambridge,MA,42.39162,-71.12299
NA,NA,NA,NA,NA,Teachers Development Group,Portland,OR,45.50465,-122.65544,Teachers Development Group,Portland,OR,45.50465,-122.65544
Tech Museum of Innovation,San Jose,CA,37.33148,-121.89018,NA,NA,NA,NA,NA,Tech Museum of Innovation,San Jose,CA,37.33148,-121.89018
Temple University of the Commonwealth,Philadelphia,PA,39.98027,-75.15705,Temple University,Philadelphia,PA,39.98027,-75.15727,Temple University,Philadelphia,PA,39.98027,-75.15705
NA,NA,NA,NA,NA,Texas A&M International University,Laredo,TX,27.57269,-99.43532,Texas A&M International University,Laredo,TX,27.57269,-99.43532
Texas A&M University,College Station,TX,30.55165,-96.24288,Texas A&M University,College Station,TX,30.60588,-96.36877,Texas A&M University,College Station,TX,30.60588,-96.36877
Texas A&M University,College Station,TX,30.60588,-96.36877,Texas A&M University,College Station,TX,30.60588,-96.36877,Texas A&M University,College Station,TX,30.60588,-96.36877
Texas A&M University,College Station,TX,30.55165,-96.24288,Texas A&M Engineering Experiment Station,College Station,TX,30.60964,-96.33959,Texas A&M University,College Station,TX,30.60588,-96.36877
Texas A&M University,College Station,TX,30.60588,-96.36877,Texas A&M Engineering Experiment Station,College Station,TX,30.60964,-96.33959,Texas A&M University,College Station,TX,30.60588,-96.36877
Texas Engineering Experiment Station,College Station,TX,30.56154,-96.25321,Texas A&M Engineering Experiment Station,College Station,TX,30.60964,-96.33959,Texas A&M University,College Station,TX,30.60588,-96.36877
NA,NA,NA,NA,NA,Texas A&M University Corpus Christi,Corpus Christi,TX,27.71357,-97.32472,Texas A&M University Corpus Christi,Corpus Christi,TX,27.71357,-97.32472
NA,NA,NA,NA,NA,Texas Christian University,Fort Worth,TX,32.70689,-97.36173,Texas Christian University,Fort Worth,TX,32.70689,-97.36173
NA,NA,NA,NA,NA,Texas Southern University,Houston,TX,29.72142,-95.35927,Texas Southern University,Houston,TX,29.72142,-95.35927
Texas State University,San Marcos,TX,29.88877,-97.93744,Texas State University - San Marcos,San Marcos,TX,29.88816,-97.93375,Texas State University - San Marcos,San Marcos,TX,29.88877,-97.93744
Texas Tech University Health Sciences Center El Paso,El Paso,TX,31.77,-106.43162,NA,NA,NA,NA,NA,Texas Tech University Health Sciences Center El Paso,El Paso,TX,31.77,-106.43162
NA,NA,NA,NA,NA,Texas Woman's University,Denton,TX,33.22722,-97.12705,Texas Woman's University,Denton,TX,33.22722,-97.12705
The Academy of Natural Sciences of Philadelphia,Philadelphia,PA,39.95795,-75.17145,NA,NA,NA,NA,NA,The Academy of Natural Sciences of Philadelphia,Philadelphia,PA,39.95795,-75.17145
The Baker Center,Boston,MA,42.33093,-71.10991,NA,NA,NA,NA,NA,The Baker Center,Boston,MA,42.33093,-71.10991
NA,NA,NA,NA,NA,The Chicago School of Professional Psychology,Chicago,IL,41.88814,-87.63368,The Chicago School of Professional Psychology,Chicago,IL,41.88814,-87.63368
NA,NA,NA,NA,NA,"The Geological Society of America, Inc..",Boulder,CO,40.03754,-105.25051,"The Geological Society of America, Inc.",Boulder,CO,40.03754,-105.25051
NA,NA,NA,NA,NA,"The Learning Network, LLC",Allen,TX,33.12757,-96.68068,"The Learning Network, LLC",Allen,TX,33.12757,-96.68068
NA,NA,NA,NA,NA,The National Gem Consortium,Alexandria,VA,38.80368,-77.05643,The National Gem Consortium,Alexandria,VA,38.80368,-77.05643
NA,NA,NA,NA,NA,The New York City Foundation for Computer Science Education,Armonk,NY,41.14741,-73.69721,The New York City Foundation for Computer Science Education,Armonk,NY,41.14741,-73.69721
"The Research Foundation for Mental Hygiene, Inc.",New York,NY,40.84308,-73.94421,NA,NA,NA,NA,NA,"The Research Foundation for Mental Hygiene, Inc.",New York,NY,40.84308,-73.94421
NA,NA,NA,NA,NA,The Texas A&M University System Health Science Center,College Station,TX,30.60964,-96.33959,The Texas A&M University System Health Science Center,College Station,TX,30.60964,-96.33959
University of Texas Health Science Center Houston,Houston,TX,29.70303,-95.4033,The University of Texas Health Science Center at Houston,Houston,TX,29.70352,-95.40302,The University of Texas Health Science Center at Houston,Houston,TX,29.70303,-95.4033
NA,NA,NA,NA,NA,The University of Texas Rio Grande Valley,Edinburg,TX,26.30454,-98.17533,The University of Texas Rio Grande Valley,Edinburg,TX,26.30454,-98.17533
Thomas Jefferson University,Philadelphia,PA,39.94821,-75.15782,NA,NA,NA,NA,NA,Thomas Jefferson University,Philadelphia,PA,39.94821,-75.15782
Tufts Medical Center,Boston,MA,42.34951,-71.06331,NA,NA,NA,NA,NA,Tufts Medical Center,Boston,MA,42.34951,-71.06331
